# mdlog[.1-last] used as log with 0 constraints
#    t=          KineticE=          TotalE=            PotentialE=        P(GPa)=            T(K)=              xi=
      0.00       0.0218162878    -688.1259892122    -688.1478055000       0.0000000000     574.0342847005       0.0000000000
     40.00       0.0235584109    -688.1185636461    -688.1421220570       0.0000000000     619.8733572169       0.0000000000
     80.00       0.0735904880    -688.1211452310    -688.1947357190       0.0000000000    1936.3268172724       0.0000000000
    120.00       0.1453825091    -688.1227109059    -688.2680934150       0.0000000000    3825.3320370633       0.0000000000
    160.00       0.2113916920    -688.1225044070    -688.3338960990       0.0000000000    5562.1781223359       0.0000000000
    200.00       0.2684932856    -688.1218453434    -688.3903386290       0.0000000000    7064.6460389368       0.0000000000
    240.00       0.3242451165    -688.1213926655    -688.4456377820       0.0000000000    8531.5987416459       0.0000000000
    280.00       0.3848326472    -688.1213166718    -688.5061493190       0.0000000000   10125.7892915969       0.0000000000
    320.00       0.4503143946    -688.1218557054    -688.5721701000       0.0000000000   11848.7573966457       0.0000000000
    360.00       0.5109849103    -688.1232655717    -688.6342504820       0.0000000000   13445.1314645891       0.0000000000
    400.00       0.5478064221    -688.1240609029    -688.6718673250       0.0000000000   14413.9860365161       0.0000000000
    440.00       0.5634129317    -688.1195391163    -688.6829520480       0.0000000000   14824.6274642154       0.0000000000
    480.00       0.5975239970    -688.1224438360    -688.7199678330       0.0000000000   15722.1642577332       0.0000000000
    520.00       0.6309523263    -688.1235182407    -688.7544705670       0.0000000000   16601.7367695736       0.0000000000
    560.00       0.6398117262    -688.1218887898    -688.7617005160       0.0000000000   16834.8469739667       0.0000000000
    600.00       0.6402311952    -688.1209568948    -688.7611880900       0.0000000000   16845.8841213571       0.0000000000
    640.00       0.6465810995    -688.1207115655    -688.7672926650       0.0000000000   17012.9640024523       0.0000000000
    680.00       0.6626812907    -688.1210614283    -688.7837427190       0.0000000000   17436.5952730679       0.0000000000
    720.00       0.6826145727    -688.1220516483    -688.8046662210       0.0000000000   17961.0835534611       0.0000000000
    760.00       0.6909793365    -688.1235973785    -688.8145767150       0.0000000000   18181.1787985855       0.0000000000
    800.00       0.6760373458    -688.1211552982    -688.7971926440       0.0000000000   17788.0223175513       0.0000000000
    840.00       0.6746688009    -688.1203230271    -688.7949918280       0.0000000000   17752.0129070759       0.0000000000
    880.00       0.6915002390    -688.1238737180    -688.8153739570       0.0000000000   18194.8848847526       0.0000000000
    920.00       0.6857152904    -688.1219474226    -688.8076627130       0.0000000000   18042.6702243377       0.0000000000
    960.00       0.6696921375    -688.1208551825    -688.7905473200       0.0000000000   17621.0659987054       0.0000000000
   1000.00       0.6606355478    -688.1205782772    -688.7812138250       0.0000000000   17382.7673013430       0.0000000000
   1040.00       0.6638172851    -688.1206930029    -688.7845102880       0.0000000000   17466.4857730521       0.0000000000
   1080.00       0.6764745770    -688.1215289730    -688.7980035500       0.0000000000   17799.5268284603       0.0000000000
   1120.00       0.6847397564    -688.1233329566    -688.8080727130       0.0000000000   18017.0017898340       0.0000000000
   1160.00       0.6714981404    -688.1217122076    -688.7932103480       0.0000000000   17668.5858887205       0.0000000000
   1200.00       0.6630659989    -688.1196593001    -688.7827252990       0.0000000000   17446.7177882237       0.0000000000
   1240.00       0.6728616103    -688.1234316667    -688.7962932770       0.0000000000   17704.4617661794       0.0000000000
   1280.00       0.6653914351    -688.1221029089    -688.7874943440       0.0000000000   17507.9051046173       0.0000000000
   1320.00       0.6460605183    -688.1210145827    -688.7670751010       0.0000000000   16999.2663708650       0.0000000000
   1360.00       0.6313486239    -688.1206335541    -688.7519821780       0.0000000000   16612.1642276320       0.0000000000
   1400.00       0.6285272098    -688.1206026552    -688.7491298650       0.0000000000   16537.9266468273       0.0000000000
   1440.00       0.6378454099    -688.1211053361    -688.7589507460       0.0000000000   16783.1088873628       0.0000000000
   1480.00       0.6505470888    -688.1225003622    -688.7730474510       0.0000000000   17117.3178605296       0.0000000000
   1520.00       0.6474629286    -688.1236502764    -688.7711132050       0.0000000000   17036.1668553514       0.0000000000
   1560.00       0.6294126819    -688.1189040701    -688.7483167520       0.0000000000   16561.2253548199       0.0000000000
   1600.00       0.6362279917    -688.1228139153    -688.7590419070       0.0000000000   16740.5510743793       0.0000000000
   1640.00       0.6427273666    -688.1234465674    -688.7661739340       0.0000000000   16911.5638532359       0.0000000000
   1680.00       0.6276344991    -688.1217018819    -688.7493363810       0.0000000000   16514.4374737667       0.0000000000
   1720.00       0.6106636179    -688.1209737181    -688.7316373360       0.0000000000   16067.8964428026       0.0000000000
   1760.00       0.6048508888    -688.1208332362    -688.7256841250       0.0000000000   15914.9508177828       0.0000000000
   1800.00       0.6127499081    -688.1212266089    -688.7339765170       0.0000000000   16122.7913042426       0.0000000000
   1840.00       0.6277312898    -688.1223081032    -688.7500393930       0.0000000000   16516.9842496027       0.0000000000
   1880.00       0.6338905997    -688.1235987563    -688.7574893560       0.0000000000   16679.0491735868       0.0000000000
   1920.00       0.6240012136    -688.1204515434    -688.7444527570       0.0000000000   16418.8377790934       0.0000000000
   1960.00       0.6290279899    -688.1216461581    -688.7506741480       0.0000000000   16551.1032671582       0.0000000000
