# mdlog[.1-last] used as log with 0 constraints
#    t=          KineticE=          TotalE=            PotentialE=        P(GPa)=            T(K)=              xi=
      0.00       0.0191062429    -688.8593500831    -688.8784563260       0.0000000000     502.7270715402       0.0000000000
     40.00       0.0172176710    -688.8587598170    -688.8759774880       0.0000000000     453.0346103612       0.0000000000
     80.00       0.0164410572    -688.8587655408    -688.8752065980       0.0000000000     432.6002023092       0.0000000000
    120.00       0.0171995366    -688.8589923414    -688.8761918780       0.0000000000     452.5574554456       0.0000000000
    160.00       0.0168403828    -688.8589216032    -688.8757619860       0.0000000000     443.1073316178       0.0000000000
    200.00       0.0155438642    -688.8587778758    -688.8743217400       0.0000000000     408.9930893483       0.0000000000
    240.00       0.0150810231    -688.8587043209    -688.8737853440       0.0000000000     396.8147270479       0.0000000000
    280.00       0.0161365782    -688.8588365148    -688.8749730930       0.0000000000     424.5886924552       0.0000000000
    320.00       0.0169669280    -688.8590137690    -688.8759806970       0.0000000000     446.4370137271       0.0000000000
    360.00       0.0155714997    -688.8589428533    -688.8745143530       0.0000000000     409.7202402724       0.0000000000
    400.00       0.0135150315    -688.8586339985    -688.8721490300       0.0000000000     355.6100610522       0.0000000000
    440.00       0.0139578336    -688.8588958044    -688.8728536380       0.0000000000     367.2611528159       0.0000000000
    480.00       0.0142317597    -688.8591154003    -688.8733471600       0.0000000000     374.4687482450       0.0000000000
    520.00       0.0118434032    -688.8587923248    -688.8706357280       0.0000000000     311.6258624662       0.0000000000
    560.00       0.0098988097    -688.8587210673    -688.8686198770       0.0000000000     260.4593516066       0.0000000000
    600.00       0.0099083713    -688.8588041737    -688.8687125450       0.0000000000     260.7109382064       0.0000000000
    640.00       0.0108375677    -688.8588759283    -688.8697134960       0.0000000000     285.1601292534       0.0000000000
    680.00       0.0112208576    -688.8590040034    -688.8702248610       0.0000000000     295.2453235847       0.0000000000
    720.00       0.0098006005    -688.8588961025    -688.8686967030       0.0000000000     257.8752503389       0.0000000000
    760.00       0.0086295012    -688.8585949828    -688.8672244840       0.0000000000     227.0610651429       0.0000000000
    800.00       0.0105566191    -688.8589560009    -688.8695126200       0.0000000000     277.7677545967       0.0000000000
    840.00       0.0117875448    -688.8592123122    -688.8709998570       0.0000000000     310.1561050777       0.0000000000
    880.00       0.0093701666    -688.8588334904    -688.8682036570       0.0000000000     246.5495925066       0.0000000000
    920.00       0.0075011159    -688.8585947281    -688.8660958440       0.0000000000     197.3707784322       0.0000000000
    960.00       0.0093775162    -688.8587784988    -688.8681560150       0.0000000000     246.7429766329       0.0000000000
   1000.00       0.0128323716    -688.8590133204    -688.8718456920       0.0000000000     337.6477857214       0.0000000000
   1040.00       0.0142961040    -688.8591227880    -688.8734188920       0.0000000000     376.1617874265       0.0000000000
   1080.00       0.0125670710    -688.8589197910    -688.8714868620       0.0000000000     330.6671459563       0.0000000000
   1120.00       0.0111096816    -688.8585539544    -688.8696636360       0.0000000000     292.3200417022       0.0000000000
   1160.00       0.0137939368    -688.8589379442    -688.8727318810       0.0000000000     362.9486697136       0.0000000000
   1200.00       0.0163532507    -688.8593173553    -688.8756706060       0.0000000000     430.2898216770       0.0000000000
   1240.00       0.0141203533    -688.8589830747    -688.8731034280       0.0000000000     371.5374031290       0.0000000000
   1280.00       0.0106928500    -688.8586148280    -688.8693076780       0.0000000000     281.3522875685       0.0000000000
   1320.00       0.0108490455    -688.8586973515    -688.8695463970       0.0000000000     285.4621338633       0.0000000000
   1360.00       0.0136757206    -688.8590021324    -688.8726778530       0.0000000000     359.8381442276       0.0000000000
   1400.00       0.0149845786    -688.8591358404    -688.8741204190       0.0000000000     394.2770623652       0.0000000000
   1440.00       0.0129414391    -688.8589328929    -688.8718743320       0.0000000000     340.5175903192       0.0000000000
   1480.00       0.0107250440    -688.8585533950    -688.8692784390       0.0000000000     282.1993833791       0.0000000000
   1520.00       0.0126360828    -688.8588014092    -688.8714374920       0.0000000000     332.4829971504       0.0000000000
   1560.00       0.0158063723    -688.8592237507    -688.8750301230       0.0000000000     415.9002539284       0.0000000000
   1600.00       0.0151014610    -688.8590435390    -688.8741450000       0.0000000000     397.3524929825       0.0000000000
   1640.00       0.0121661306    -688.8587033674    -688.8708694980       0.0000000000     320.1175263096       0.0000000000
   1680.00       0.0115910212    -688.8586191498    -688.8702101710       0.0000000000     304.9851380232       0.0000000000
   1720.00       0.0146098901    -688.8588562519    -688.8734661420       0.0000000000     384.4181884216       0.0000000000
   1760.00       0.0180089278    -688.8591323882    -688.8771413160       0.0000000000     473.8543085604       0.0000000000
   1800.00       0.0181085880    -688.8591345440    -688.8772431320       0.0000000000     476.4765871644       0.0000000000
   1840.00       0.0154007894    -688.8587752776    -688.8741760670       0.0000000000     405.2284786424       0.0000000000
   1880.00       0.0148467708    -688.8586097892    -688.8734565600       0.0000000000     390.6510374554       0.0000000000
   1920.00       0.0178443652    -688.8591503978    -688.8769947630       0.0000000000     469.5243061897       0.0000000000
   1960.00       0.0183653971    -688.8592880919    -688.8776534890       0.0000000000     483.2337980197       0.0000000000
