# mdlog[.1-last] used as log with 0 constraints
#    t=          KineticE=          TotalE=            PotentialE=        P(GPa)=            T(K)=              xi=
      0.00       0.0145056853    -688.7658244797    -688.7803301650       0.0000000000     381.6763321966       0.0000000000
     80.00       0.0119428317    -688.7604916033    -688.7724344350       0.0000000000     314.2420432914       0.0000000000
    160.00       0.0258093659    -688.7655909711    -688.7914003370       0.0000000000     679.1009099965       0.0000000000
    240.00       0.0258404837    -688.7554900943    -688.7813305780       0.0000000000     679.9196871665       0.0000000000
    320.00       0.0369614967    -688.7618470893    -688.7988085860       0.0000000000     972.5378808584       0.0000000000
    400.00       0.0305468907    -688.7576108523    -688.7881577430       0.0000000000     803.7555566107       0.0000000000
    480.00       0.0475930929    -688.7633333871    -688.8109264800       0.0000000000    1252.2784483939       0.0000000000
    560.00       0.0471154802    -688.7521402928    -688.7992557730       0.0000000000    1239.7114126041       0.0000000000
    640.00       0.0567685701    -688.7601845359    -688.8169531060       0.0000000000    1493.7053389484       0.0000000000
    720.00       0.0428752341    -688.7550355879    -688.7979108220       0.0000000000    1128.1412580305       0.0000000000
    800.00       0.0535850369    -688.7586904711    -688.8122755080       0.0000000000    1409.9396111269       0.0000000000
    880.00       0.0504460796    -688.7580535934    -688.8084996730       0.0000000000    1327.3467746361       0.0000000000
    960.00       0.0461702810    -688.7616003740    -688.8077706550       0.0000000000    1214.8411535474       0.0000000000
   1040.00       0.0349272149    -688.7571508701    -688.7920780850       0.0000000000     919.0114744903       0.0000000000
   1120.00       0.0274412241    -688.7578274619    -688.7852686860       0.0000000000     722.0386719975       0.0000000000
   1200.00       0.0309755158    -688.7590196622    -688.7899951780       0.0000000000     815.0336205914       0.0000000000
   1280.00       0.0260528192    -688.7561552158    -688.7822080350       0.0000000000     685.5066982018       0.0000000000
   1360.00       0.0312458933    -688.7598739917    -688.7911198850       0.0000000000     822.1478446055       0.0000000000
   1440.00       0.0278187127    -688.7587683263    -688.7865870390       0.0000000000     731.9712219880       0.0000000000
   1520.00       0.0377120582    -688.7604263058    -688.7981383640       0.0000000000     992.2867967252       0.0000000000
   1600.00       0.0399782755    -688.7587950835    -688.7987733590       0.0000000000    1051.9159346195       0.0000000000
   1680.00       0.0479631404    -688.7644860766    -688.8124492170       0.0000000000    1262.0152085688       0.0000000000
   1760.00       0.0451406234    -688.7624081686    -688.8075487920       0.0000000000    1187.7486071222       0.0000000000
   1840.00       0.0547834080    -688.7641469510    -688.8189303590       0.0000000000    1441.4713786824       0.0000000000
   1920.00       0.0566497945    -688.7630261945    -688.8196759890       0.0000000000    1490.5800922821       0.0000000000
   2000.00       0.0576243732    -688.7685521298    -688.8261765030       0.0000000000    1516.2233899019       0.0000000000
   2080.00       0.0498248544    -688.7652948766    -688.8151197310       0.0000000000    1311.0009798738       0.0000000000
   2160.00       0.0530720620    -688.7670669250    -688.8201389870       0.0000000000    1396.4421185022       0.0000000000
   2240.00       0.0507290317    -688.7672818703    -688.8180109020       0.0000000000    1334.7918620005       0.0000000000
   2320.00       0.0468150463    -688.7696460707    -688.8164611170       0.0000000000    1231.8063403429       0.0000000000
   2400.00       0.0385882468    -688.7663448712    -688.8049331180       0.0000000000    1015.3412370544       0.0000000000
   2480.00       0.0378566714    -688.7678901386    -688.8057468100       0.0000000000     996.0918877364       0.0000000000
   2560.00       0.0343978659    -688.7684205731    -688.8028184390       0.0000000000     905.0831441040       0.0000000000
   2640.00       0.0341278584    -688.7697023096    -688.8038301680       0.0000000000     897.9786562786       0.0000000000
   2720.00       0.0323364136    -688.7674761704    -688.7998125840       0.0000000000     850.8418222112       0.0000000000
   2800.00       0.0326193123    -688.7686208617    -688.8012401740       0.0000000000     858.2855069438       0.0000000000
   2880.00       0.0326034750    -688.7689661860    -688.8015696610       0.0000000000     857.8687925442       0.0000000000
   2960.00       0.0342764158    -688.7688895272    -688.8031659430       0.0000000000     901.8875258833       0.0000000000
   3040.00       0.0367154978    -688.7689754442    -688.8056909420       0.0000000000     966.0651123846       0.0000000000
   3120.00       0.0379414507    -688.7682688733    -688.8062103240       0.0000000000     998.3226170945       0.0000000000
   3200.00       0.0437765142    -688.7687823748    -688.8125588890       0.0000000000    1151.8559100886       0.0000000000
   3280.00       0.0454503353    -688.7687232697    -688.8141736050       0.0000000000    1195.8978073764       0.0000000000
   3360.00       0.0490202546    -688.7703792174    -688.8193994720       0.0000000000    1289.8301968494       0.0000000000
   3440.00       0.0517374254    -688.7692801456    -688.8210175710       0.0000000000    1361.3249072232       0.0000000000
   3520.00       0.0566850523    -688.7701356227    -688.8268206750       0.0000000000    1491.5078007562       0.0000000000
   3600.00       0.0535746260    -688.7702951070    -688.8238697330       0.0000000000    1409.6656786045       0.0000000000
   3680.00       0.0520792145    -688.7716826405    -688.8237618550       0.0000000000    1370.3181282246       0.0000000000
   3760.00       0.0508120773    -688.7709861197    -688.8217981970       0.0000000000    1336.9769737194       0.0000000000
   3840.00       0.0494189958    -688.7719615212    -688.8213805170       0.0000000000    1300.3219510751       0.0000000000
   3920.00       0.0416271129    -688.7707305271    -688.8123576400       0.0000000000    1095.3004572006       0.0000000000
   4000.00       0.0363886081    -688.7722313809    -688.8086199890       0.0000000000     957.4639280125       0.0000000000
   4080.00       0.0331910096    -688.7717333224    -688.8049243320       0.0000000000     873.3281133003       0.0000000000
   4160.00       0.0348370916    -688.7714927064    -688.8063297980       0.0000000000     916.6401333607       0.0000000000
   4240.00       0.0406580432    -688.7721011518    -688.8127591950       0.0000000000    1069.8021106612       0.0000000000
   4320.00       0.0465855508    -688.7722926052    -688.8188781560       0.0000000000    1225.7678117205       0.0000000000
   4400.00       0.0496860103    -688.7730594537    -688.8227454640       0.0000000000    1307.3476864876       0.0000000000
   4480.00       0.0473628082    -688.7720717098    -688.8194345180       0.0000000000    1246.2191549551       0.0000000000
   4560.00       0.0495443371    -688.7726894979    -688.8222338350       0.0000000000    1303.6199538379       0.0000000000
   4640.00       0.0493691004    -688.7722924376    -688.8216615380       0.0000000000    1299.0090937056       0.0000000000
   4720.00       0.0489805476    -688.7728967714    -688.8218773190       0.0000000000    1288.7854183375       0.0000000000
   4800.00       0.0499992599    -688.7726239831    -688.8226232430       0.0000000000    1315.5899703672       0.0000000000
   4880.00       0.0505074041    -688.7721614959    -688.8226689000       0.0000000000    1328.9603545831       0.0000000000
   4960.00       0.0485608421    -688.7730231149    -688.8215839570       0.0000000000    1277.7420481776       0.0000000000
   5040.00       0.0424858686    -688.7714703964    -688.8139562650       0.0000000000    1117.8961976387       0.0000000000
   5120.00       0.0444973767    -688.7718684823    -688.8163658590       0.0000000000    1170.8233795586       0.0000000000
   5200.00       0.0461338395    -688.7724086745    -688.8185425140       0.0000000000    1213.8822972935       0.0000000000
   5280.00       0.0504851928    -688.7726636342    -688.8231488270       0.0000000000    1328.3759282440       0.0000000000
   5360.00       0.0536341928    -688.7717545522    -688.8253887450       0.0000000000    1411.2330089777       0.0000000000
   5440.00       0.0531582659    -688.7717293181    -688.8248875840       0.0000000000    1398.7103309231       0.0000000000
   5520.00       0.0497523598    -688.7734751462    -688.8232275060       0.0000000000    1309.0934877280       0.0000000000
   5600.00       0.0446112508    -688.7700536392    -688.8146648900       0.0000000000    1173.8196569759       0.0000000000
   5680.00       0.0435650097    -688.7720993543    -688.8156643640       0.0000000000    1146.2907641060       0.0000000000
   5760.00       0.0373507194    -688.7711106296    -688.8084613490       0.0000000000     982.7791823803       0.0000000000
   5840.00       0.0357112199    -688.7735326481    -688.8092438680       0.0000000000     939.6403626293       0.0000000000
   5920.00       0.0286980480    -688.7682000380    -688.7968980860       0.0000000000     755.1084582794       0.0000000000
   6000.00       0.0309590586    -688.7727217614    -688.8036808200       0.0000000000     814.6005970578       0.0000000000
   6080.00       0.0234743417    -688.7689037313    -688.7923780730       0.0000000000     617.6613123967       0.0000000000
   6160.00       0.0308088785    -688.7721615765    -688.8029704550       0.0000000000     810.6490286013       0.0000000000
   6240.00       0.0299322158    -688.7661556232    -688.7960878390       0.0000000000     787.5821159973       0.0000000000
   6320.00       0.0394845179    -688.7722482021    -688.8117327200       0.0000000000    1038.9240917795       0.0000000000
   6400.00       0.0399118149    -688.7681043351    -688.8080161500       0.0000000000    1050.1672106896       0.0000000000
   6480.00       0.0513075892    -688.7716180758    -688.8229256650       0.0000000000    1350.0149777031       0.0000000000
   6560.00       0.0469895404    -688.7651982126    -688.8121877530       0.0000000000    1236.3976602807       0.0000000000
   6640.00       0.0564743610    -688.7725578760    -688.8290322370       0.0000000000    1485.9640535032       0.0000000000
   6720.00       0.0497749136    -688.7662006074    -688.8159755210       0.0000000000    1309.6869268021       0.0000000000
   6800.00       0.0580231334    -688.7710295086    -688.8290526420       0.0000000000    1526.7156441934       0.0000000000
   6880.00       0.0553167027    -688.7666725063    -688.8219892090       0.0000000000    1455.5035277094       0.0000000000
   6960.00       0.0612048362    -688.7737246848    -688.8349295210       0.0000000000    1610.4332084794       0.0000000000
   7040.00       0.0496882349    -688.7667032911    -688.8163915260       0.0000000000    1307.4062207172       0.0000000000
   7120.00       0.0518273045    -688.7722297495    -688.8240570540       0.0000000000    1363.6898237004       0.0000000000
   7200.00       0.0470144751    -688.7697637949    -688.8167782700       0.0000000000    1237.0537484844       0.0000000000
   7280.00       0.0550407799    -688.7736029021    -688.8286436820       0.0000000000    1448.2433959327       0.0000000000
   7360.00       0.0523350640    -688.7677264900    -688.8200615540       0.0000000000    1377.0500890431       0.0000000000
   7440.00       0.0528192631    -688.7715890019    -688.8244082650       0.0000000000    1389.7904271205       0.0000000000
   7520.00       0.0510085433    -688.7702139657    -688.8212225090       0.0000000000    1342.1464239604       0.0000000000
   7600.00       0.0578088475    -688.7707487215    -688.8285575690       0.0000000000    1521.0773119047       0.0000000000
   7680.00       0.0565219301    -688.7667805119    -688.8233024420       0.0000000000    1487.2156996043       0.0000000000
   7760.00       0.0580815299    -688.7682467701    -688.8263283000       0.0000000000    1528.2521833723       0.0000000000
   7840.00       0.0581562516    -688.7681170434    -688.8262732950       0.0000000000    1530.2182758438       0.0000000000
   7920.00       0.0588767152    -688.7672618128    -688.8261385280       0.0000000000    1549.1752507262       0.0000000000
   8000.00       0.0547657748    -688.7625243422    -688.8172901170       0.0000000000    1441.0074084888       0.0000000000
   8080.00       0.0578296550    -688.7639785650    -688.8218082200       0.0000000000    1521.6248032401       0.0000000000
