# mdlog[.1-last] used as log with 0 constraints
#    t=          KineticE=          TotalE=            PotentialE=        P(GPa)=            T(K)=              xi=
      0.00       0.0133018200   -1151.8680064100   -1151.8813082300       0.0000000000     400.0000000000       0.0000000000
     40.00       0.0227138096   -1151.8686858004   -1151.8913996100       0.0000000000     683.0286255415       0.0000000000
     80.00       0.0359815587   -1151.8703525113   -1151.9063340700       0.0000000000    1082.0040771924       0.0000000000
    120.00       0.0338751567   -1151.8702160133   -1151.9040911700       0.0000000000    1018.6623082826       0.0000000000
    160.00       0.0254811194   -1151.8676128106   -1151.8930939300       0.0000000000     766.2446017673       0.0000000000
    200.00       0.0349642309   -1151.8696516091   -1151.9046158400       0.0000000000    1051.4119382701       0.0000000000
    240.00       0.0458216405   -1151.8702404995   -1151.9160621400       0.0000000000    1377.9058944926       0.0000000000
    280.00       0.0436905551   -1151.8695687549   -1151.9132593100       0.0000000000    1313.8218709169       0.0000000000
    320.00       0.0357665301   -1151.8685211999   -1151.9042877300       0.0000000000    1075.5379380656       0.0000000000
    360.00       0.0357765239   -1151.8682226661   -1151.9039991900       0.0000000000    1075.8384607219       0.0000000000
    400.00       0.0477364429   -1151.8690017171   -1151.9167381600       0.0000000000    1435.4860572222       0.0000000000
    440.00       0.0597777725   -1151.8705707275   -1151.9303485000       0.0000000000    1797.5817600298       0.0000000000
    480.00       0.0556777386   -1151.8698319914   -1151.9255097300       0.0000000000    1674.2893420299       0.0000000000
    520.00       0.0487917444   -1151.8679690956   -1151.9167608400       0.0000000000    1467.2201056066       0.0000000000
    560.00       0.0568391373   -1151.8697797827   -1151.9266189200       0.0000000000    1709.2138455339       0.0000000000
    600.00       0.0632500841   -1151.8701400459   -1151.9333901300       0.0000000000    1901.9978944054       0.0000000000
    640.00       0.0575757235   -1151.8694879565   -1151.9270636800       0.0000000000    1731.3637843814       0.0000000000
    680.00       0.0468381778   -1151.8684443122   -1151.9152824900       0.0000000000    1408.4742632843       0.0000000000
    720.00       0.0444108506   -1151.8681926494   -1151.9126035000       0.0000000000    1335.4819295916       0.0000000000
    760.00       0.0537538937   -1151.8690102663   -1151.9227641600       0.0000000000    1616.4372604411       0.0000000000
    800.00       0.0626332033   -1151.8705468567   -1151.9331800600       0.0000000000    1883.4476282013       0.0000000000
    840.00       0.0548157319   -1151.8698500181   -1151.9246657500       0.0000000000    1648.3678755960       0.0000000000
    880.00       0.0437717426   -1151.8677952874   -1151.9115670300       0.0000000000    1316.2632665906       0.0000000000
    920.00       0.0505241991   -1151.8695341209   -1151.9200583200       0.0000000000    1519.3168771762       0.0000000000
    960.00       0.0579410460   -1151.8704476840   -1151.9283887300       0.0000000000    1742.3494226384       0.0000000000
   1000.00       0.0504729088   -1151.8694174212   -1151.9198903300       0.0000000000    1517.7745253747       0.0000000000
   1040.00       0.0378578457   -1151.8683006543   -1151.9061585000       0.0000000000    1138.4260399314       0.0000000000
   1080.00       0.0352222703   -1151.8681393197   -1151.9033615900       0.0000000000    1059.1714615053       0.0000000000
   1120.00       0.0448265376   -1151.8690474124   -1151.9138739500       0.0000000000    1347.9820846471       0.0000000000
   1160.00       0.0533819555   -1151.8705546245   -1151.9239365800       0.0000000000    1605.2526798739       0.0000000000
   1200.00       0.0451042144   -1151.8698362656   -1151.9149404800       0.0000000000    1356.3321244341       0.0000000000
   1240.00       0.0339537432   -1151.8677228668   -1151.9016766100       0.0000000000    1021.0254890173       0.0000000000
   1280.00       0.0419958993   -1151.8695776007   -1151.9115735000       0.0000000000    1262.8617536878       0.0000000000
   1320.00       0.0504940834   -1151.8706719966   -1151.9211660800       0.0000000000    1518.4112671559       0.0000000000
   1360.00       0.0420683451   -1151.8693612549   -1151.9114296000       0.0000000000    1265.0402744015       0.0000000000
   1400.00       0.0292965185   -1151.8682486315   -1151.8975451500       0.0000000000     880.9777462001       0.0000000000
   1440.00       0.0279824177   -1151.8681521323   -1151.8961345500       0.0000000000     841.4613241316       0.0000000000
   1480.00       0.0397217714   -1151.8690634386   -1151.9087852100       0.0000000000    1194.4762871727       0.0000000000
   1520.00       0.0509519913   -1151.8705144387   -1151.9214664300       0.0000000000    1532.1810481303       0.0000000000
   1560.00       0.0461270337   -1151.8697967963   -1151.9159238300       0.0000000000    1387.0893975892       0.0000000000
   1600.00       0.0377998812   -1151.8677610688   -1151.9055609500       0.0000000000    1136.6829860996       0.0000000000
   1640.00       0.0472066699   -1151.8695405801   -1151.9167472500       0.0000000000    1419.5552165974       0.0000000000
   1680.00       0.0562184699   -1151.8707524001   -1151.9269708700       0.0000000000    1690.5497099254       0.0000000000
   1720.00       0.0476482241   -1151.8693556459   -1151.9170038700       0.0000000000    1432.8332241062       0.0000000000
   1760.00       0.0357606469   -1151.8683245631   -1151.9040852100       0.0000000000    1075.3610233818       0.0000000000
   1800.00       0.0361673686   -1151.8683185414   -1151.9044859100       0.0000000000    1087.5915820963       0.0000000000
   1840.00       0.0654467390   -1151.8698993710   -1151.9353461100       0.0000000000    1968.0536642505       0.0000000000
   1880.00       0.0762669694   -1151.8710493106   -1151.9473162800       0.0000000000    2293.4296035821       0.0000000000
   1920.00       0.0746234541   -1151.8699541659   -1151.9445776200       0.0000000000    2244.0073353060       0.0000000000
   1960.00       0.0732066504   -1151.8687593596   -1151.9419660100       0.0000000000    2201.4025270136       0.0000000000
   2000.00       0.0839252524   -1151.8702770476   -1151.9542023000       0.0000000000    2523.7223911344       0.0000000000
   2040.00       0.0903456266   -1151.8710592234   -1151.9614048500       0.0000000000    2716.7899317026       0.0000000000
   2080.00       0.0824781170   -1151.8699164530   -1151.9523945700       0.0000000000    2480.2054751906       0.0000000000
   2120.00       0.0735766942   -1151.8690976758   -1151.9426743700       0.0000000000    2212.5301413461       0.0000000000
   2160.00       0.0760282744   -1151.8691660956   -1151.9451943700       0.0000000000    2286.2517883658       0.0000000000
   2200.00       0.0889515040   -1151.8700649960   -1151.9590165000       0.0000000000    2674.8671671215       0.0000000000
   2240.00       0.1001631111   -1151.8707979289   -1151.9709610400       0.0000000000    3012.0122240415       0.0000000000
   2280.00       0.1028994401   -1151.8698480399   -1151.9727474800       0.0000000000    3094.2965729802       0.0000000000
   2320.00       0.1060392000   -1151.8698000000   -1151.9758392000       0.0000000000    3188.7125206325       0.0000000000
   2360.00       0.1115918699   -1151.8703501201   -1151.9819419900       0.0000000000    3355.6872626453       0.0000000000
   2400.00       0.1109394254   -1151.8704322946   -1151.9813717200       0.0000000000    3336.0675584845       0.0000000000
   2440.00       0.1014702530   -1151.8698276370   -1151.9712978900       0.0000000000    3051.3193832724       0.0000000000
   2480.00       0.0910901689   -1151.8693072211   -1151.9603973900       0.0000000000    2739.1791157330       0.0000000000
   2520.00       0.0875396341   -1151.8692922659   -1151.9568319000       0.0000000000    2632.4107245054       0.0000000000
   2560.00       0.0908872211   -1151.8699614589   -1151.9608486800       0.0000000000    2733.0762596186       0.0000000000
   2600.00       0.0926787535   -1151.8705054165   -1151.9631841700       0.0000000000    2786.9495616901       0.0000000000
   2640.00       0.0891511749   -1151.8696666651   -1151.9588178400       0.0000000000    2680.8714856944       0.0000000000
   2680.00       0.0889079301   -1151.8698290599   -1151.9587369900       0.0000000000    2673.5568555762       0.0000000000
   2720.00       0.0934762819   -1151.8701344381   -1151.9636107200       0.0000000000    2810.9320960230       0.0000000000
   2760.00       0.0979869599   -1151.8699581501   -1151.9679451100       0.0000000000    2946.5730234990       0.0000000000
   2800.00       0.1028422926   -1151.8696822674   -1151.9725245600       0.0000000000    3092.5780853146       0.0000000000
   2840.00       0.1102470644   -1151.8697458356   -1151.9799929000       0.0000000000    3315.2475204446       0.0000000000
   2880.00       0.1200868797   -1151.8696229403   -1151.9897098200       0.0000000000    3611.1413240594       0.0000000000
   2920.00       0.1329056209   -1151.8700214691   -1152.0029270900       0.0000000000    3996.6146246754       0.0000000000
   2960.00       0.1438567102   -1151.8705862298   -1152.0144429400       0.0000000000    4325.9256315301       0.0000000000
   3000.00       0.1495098969   -1151.8698134031   -1152.0193233000       0.0000000000    4495.9230201882       0.0000000000
   3040.00       0.1583441242   -1151.8698749258   -1152.0282190500       0.0000000000    4761.5777163426       0.0000000000
   3080.00       0.1728288913   -1151.8702086387   -1152.0430375300       0.0000000000    5197.1502020626       0.0000000000
   3120.00       0.1842746447   -1151.8712176053   -1152.0554922500       0.0000000000    5541.3362899814       0.0000000000
   3160.00       0.1817562463   -1151.8706350737   -1152.0523913200       0.0000000000    5465.6053475088       0.0000000000
   3200.00       0.1699260712   -1151.8696721688   -1152.0395982400       0.0000000000    5109.8592874058       0.0000000000
   3240.00       0.1603575617   -1151.8697304283   -1152.0300879900       0.0000000000    4822.1239398819       0.0000000000
   3280.00       0.1546441315   -1151.8704205885   -1152.0250647200       0.0000000000    4650.3149641177       0.0000000000
   3320.00       0.1457336436   -1151.8709658164   -1152.0166994600       0.0000000000    4382.3670323911       0.0000000000
   3360.00       0.1306751157   -1151.8699480143   -1152.0006231300       0.0000000000    3929.5409424876       0.0000000000
   3400.00       0.1222253949   -1151.8694234850   -1151.9916488800       0.0000000000    3675.4487716718       0.0000000000
   3440.00       0.1300033204   -1151.8695859996   -1151.9995893200       0.0000000000    3909.3393352489       0.0000000000
   3480.00       0.1476906602   -1151.8708600198   -1152.0185506800       0.0000000000    4441.2166228381       0.0000000000
   3520.00       0.1608972886   -1151.8705745114   -1152.0314718000       0.0000000000    4838.3541079642       0.0000000000
   3560.00       0.1693876823   -1151.8696907677   -1152.0390784500       0.0000000000    5093.6693563738       0.0000000000
   3600.00       0.1820634614   -1151.8696457486   -1152.0517092100       0.0000000000    5474.8436360137       0.0000000000
   3640.00       0.1982697933   -1151.8707905067   -1152.0690603000       0.0000000000    5962.1854245509       0.0000000000
   3680.00       0.2047444969   -1151.8716363331   -1152.0763808300       0.0000000000    6156.8867099389       0.0000000000
   3720.00       0.1952414902   -1151.8703597098   -1152.0656012000       0.0000000000    5871.1210994285       0.0000000000
   3760.00       0.1833724904   -1151.8701692196   -1152.0535417100       0.0000000000    5514.2075403215       0.0000000000
   3800.00       0.1759360029   -1151.8703840371   -1152.0463200400       0.0000000000    5290.5843819868       0.0000000000
   3840.00       0.1668348222   -1151.8709545978   -1152.0377894200       0.0000000000    5016.9021131244       0.0000000000
   3880.00       0.1509085851   -1151.8701467249   -1152.0210553100       0.0000000000    4537.9830749176       0.0000000000
   3920.00       0.1357860491   -1151.8698081709   -1152.0055942200       0.0000000000    4083.2321909934       0.0000000000
   3960.00       0.1259819981   -1151.8703101919   -1151.9962921900       0.0000000000    3788.4138594869       0.0000000000
   4000.00       0.1179747010   -1151.8700698790   -1151.9880445800       0.0000000000    3547.6258440725       0.0000000000
   4040.00       0.1153218779   -1151.8698686921   -1151.9851905700       0.0000000000    3467.8526072673       0.0000000000
   4080.00       0.1215040499   -1151.8703988301   -1151.9919028800       0.0000000000    3653.7571530212       0.0000000000
   4120.00       0.1274433640   -1151.8711207560   -1151.9985641200       0.0000000000    3832.3586989750       0.0000000000
   4160.00       0.1264487104   -1151.8701291396   -1151.9965778500       0.0000000000    3802.4483980087       0.0000000000
   4200.00       0.1244790928   -1151.8704289572   -1151.9949080500       0.0000000000    3743.2198830235       0.0000000000
   4240.00       0.1221974973   -1151.8699806527   -1151.9921781500       0.0000000000    3674.6098595531       0.0000000000
   4280.00       0.1239049237   -1151.8697022363   -1151.9936071600       0.0000000000    3725.9540035574       0.0000000000
   4320.00       0.1323926896   -1151.8702691704   -1152.0026618600       0.0000000000    3981.1902307504       0.0000000000
   4360.00       0.1393813109   -1151.8711997691   -1152.0105810800       0.0000000000    4191.3455729817       0.0000000000
   4400.00       0.1352921001   -1151.8702234199   -1152.0055155200       0.0000000000    4068.3786163397       0.0000000000
   4440.00       0.1307249707   -1151.8696302193   -1152.0003551900       0.0000000000    3931.0401356506       0.0000000000
   4480.00       0.1286730827   -1151.8715709673   -1152.0002440500       0.0000000000    3869.3376617034       0.0000000000
   4520.00       0.1148276638   -1151.8701233862   -1151.9849510500       0.0000000000    3452.9910572237       0.0000000000
   4560.00       0.0986292763   -1151.8700898737   -1151.9687191500       0.0000000000    2965.8881662720       0.0000000000
   4600.00       0.0854346568   -1151.8700062932   -1151.9554409500       0.0000000000    2569.1118002318       0.0000000000
