#    t=      ,    KineticE=    ,      TotalE=      ,      PotentialE=    ,    P(GPa)=       ,     T(K)=         ,     xi=
      0.00   ,    0.0160292875 ,  -1151.8631064025 ,  -1151.8791356900   ,    0.0000000000  ,   482.0178727482  ,     0.0000000000
     40.00   ,    0.0292395593 ,  -1151.8650493907 ,  -1151.8942889500   ,    0.0000000000  ,   879.2649218227  ,     0.0000000000
     80.00   ,    0.0357776306 ,  -1151.8626596394 ,  -1151.8984372700   ,    0.0000000000  ,  1075.8717410971  ,     0.0000000000
    120.00   ,    0.0291472358 ,  -1151.8614977342 ,  -1151.8906449700   ,    0.0000000000  ,   876.4886550472  ,     0.0000000000
    160.00   ,    0.0281266304 ,  -1151.8630345796 ,  -1151.8911612100   ,    0.0000000000  ,   845.7979560180  ,     0.0000000000
    200.00   ,    0.0372464451 ,  -1151.8639433849 ,  -1151.9011898300   ,    0.0000000000  ,  1120.0405677088  ,     0.0000000000
    240.00   ,    0.0462932370 ,  -1151.8629212930 ,  -1151.9092145300   ,    0.0000000000  ,  1392.0873070663  ,     0.0000000000
    280.00   ,    0.0507646286 ,  -1151.8631838614 ,  -1151.9139484900   ,    0.0000000000  ,  1526.5468515767  ,     0.0000000000
    320.00   ,    0.0517447007 ,  -1151.8631309993 ,  -1151.9148757000   ,    0.0000000000  ,  1556.0186707714  ,     0.0000000000
    360.00   ,    0.0520485659 ,  -1151.8621367941 ,  -1151.9141853600   ,    0.0000000000  ,  1565.1562245317  ,     0.0000000000
    400.00   ,    0.0585080593 ,  -1151.8642307807 ,  -1151.9227388400   ,    0.0000000000  ,  1759.4001203835  ,     0.0000000000
    440.00   ,    0.0637746481 ,  -1151.8638140719 ,  -1151.9275887200   ,    0.0000000000  ,  1917.7720982572  ,     0.0000000000
    480.00   ,    0.0565822240 ,  -1151.8617299060 ,  -1151.9183121300   ,    0.0000000000  ,  1701.4881883832  ,     0.0000000000
    520.00   ,    0.0495129035 ,  -1151.8628183465 ,  -1151.9123312500   ,    0.0000000000  ,  1488.9061335095  ,     0.0000000000
    560.00   ,    0.0497212629 ,  -1151.8636668271 ,  -1151.9133880900   ,    0.0000000000  ,  1495.1717256225  ,     0.0000000000
    600.00   ,    0.0507847190 ,  -1151.8630293110 ,  -1151.9138140300   ,    0.0000000000  ,  1527.1509907757  ,     0.0000000000
    640.00   ,    0.0502286260 ,  -1151.8631752240 ,  -1151.9134038500   ,    0.0000000000  ,  1510.4286770442  ,     0.0000000000
    680.00   ,    0.0476964209 ,  -1151.8634799191 ,  -1151.9111763400   ,    0.0000000000  ,  1434.2825534822  ,     0.0000000000
    720.00   ,    0.0429344331 ,  -1151.8621287669 ,  -1151.9050632000   ,    0.0000000000  ,  1291.0844707957  ,     0.0000000000
    760.00   ,    0.0444565030 ,  -1151.8636474270 ,  -1151.9081039300   ,    0.0000000000  ,  1336.8547454108  ,     0.0000000000
    800.00   ,    0.0489961844 ,  -1151.8642398356 ,  -1151.9132360200   ,    0.0000000000  ,  1473.3678366630  ,     0.0000000000
    840.00   ,    0.0429266341 ,  -1151.8618253159 ,  -1151.9047519500   ,    0.0000000000  ,  1290.8499457367  ,     0.0000000000
    880.00   ,    0.0357059771 ,  -1151.8625088729 ,  -1151.8982148500   ,    0.0000000000  ,  1073.7170421160  ,     0.0000000000
    920.00   ,    0.0365637180 ,  -1151.8637426320 ,  -1151.9003063500   ,    0.0000000000  ,  1099.5102319713  ,     0.0000000000
    960.00   ,    0.0399124370 ,  -1151.8630309230 ,  -1151.9029433600   ,    0.0000000000  ,  1200.2098065949  ,     0.0000000000
   1000.00   ,    0.0421531119 ,  -1151.8631899581 ,  -1151.9053430700   ,    0.0000000000  ,  1267.5893042275  ,     0.0000000000
   1040.00   ,    0.0426656107 ,  -1151.8636206793 ,  -1151.9062862900   ,    0.0000000000  ,  1283.0006923143  ,     0.0000000000
   1080.00   ,    0.0402618006 ,  -1151.8620378894 ,  -1151.9022996900   ,    0.0000000000  ,  1210.7155454878  ,     0.0000000000
   1120.00   ,    0.0440952425 ,  -1151.8636271075 ,  -1151.9077223500   ,    0.0000000000  ,  1325.9912565589  ,     0.0000000000
   1160.00   ,    0.0522948864 ,  -1151.8643753836 ,  -1151.9166702700   ,    0.0000000000  ,  1572.5633458309  ,     0.0000000000
